seed_title,onet_code,onet_name
Data Analyst,15-2051.00,Data Scientists
Senior Data Scientist,15-2051.00,Data Scientists
Machine Learning Engineer,15-2051.00,Data Scientists
BI Developer,15-1252.00,Software Developers
Analytics Manager,11-3021.00,IT Managers
Data Engineer,15-1252.00,Software Developers
Backend Developer,15-1252.00,Software Developers
Frontend Developer,15-1254.00,Web Developers
Full Stack Developer,15-1252.00,Software Developers
DevOps Engineer,15-1252.00,Software Developers
Site Reliability Engineer,15-1252.00,Software Developers
QA Engineer,15-1253.00,QA Testers
Mobile App Developer,15-1254.00,Web Developers
Cloud Solutions Architect,15-1241.00,Network Architects
Security Analyst,15-1212.00,Security Analysts
Cybersecurity Engineer,15-1212.00,Security Analysts
Database Administrator,15-1242.00,Database Architects
IT Support Specialist,15-1232.00,IT Support Specialists
Network Engineer,15-1244.00,Systems Administrators
Product Manager,11-2021.00,Product Managers
Project Manager,13-1082.00,Project Specialists
Technical Program Manager,13-1082.00,Project Specialists
Business Analyst,13-1111.00,Management Analysts
Operations Manager,11-1021.00,Operations Managers
Financial Analyst,13-2051.00,Financial Analysts
Accountant,13-2011.00,Accountants
Controller,11-3031.00,Financial Managers
Investment Analyst,13-2051.00,Financial Analysts
Risk Analyst,13-2054.00,Risk Specialists
Internal Auditor,13-2011.00,Auditors
Marketing Specialist,13-1161.00,Marketing Analysts
Digital Marketing Manager,11-2021.00,Marketing Managers
SEO Specialist,13-1161.00,Marketing Analysts
Content Marketing Manager,11-2021.00,Marketing Managers
Social Media Manager,11-2021.00,Marketing Managers
Brand Manager,11-2021.00,Marketing Managers
HR Generalist,13-1071.00,HR Specialists
Recruiter,13-1074.00,Recruiters
Talent Acquisition Specialist,13-1071.00,HR Specialists
People Operations Manager,11-3111.00,People Managers
Compensation Analyst,13-1141.00,Compensation Analysts
Sales Representative,41-4012.00,Sales Representatives
Account Executive,41-3091.00,Account Executives
Business Development Representative,41-4011.00,Business Development Reps
Sales Manager,11-2022.00,Sales Managers
Customer Success Manager,11-3012.00,Customer Success Managers
Customer Support Specialist,43-4051.00,Customer Service Reps
Supply Chain Analyst,13-1081.00,Logisticians
Procurement Specialist,13-1023.00,Purchasing Agents
Legal Operations Specialist,23-2011.00,Legal Assistants
